        2.00000e-01 4.00000e-01 6.000000e-01
3.452094e+06 0.000000e+00 0.000000e+00 0.000000e+00
3.828975e+06 0.000000e+00 0.000000e+00 0.000000e+00
4.247003e+06 0.000000e+00 0.000000e+00 0.000000e+00
4.710669e+06 0.000000e+00 0.000000e+00 0.000000e+00
5.224955e+06 0.000000e+00 0.000000e+00 0.000000e+00
5.795389e+06 0.000000e+00 0.000000e+00 0.000000e+00
6.428099e+06 0.000000e+00 0.000000e+00 0.000000e+00
7.129886e+06 0.000000e+00 0.000000e+00 0.000000e+00
7.908290e+06 0.000000e+00 0.000000e+00 0.000000e+00
8.771676e+06 0.000000e+00 0.000000e+00 0.000000e+00
9.729322e+06 0.000000e+00 0.000000e+00 0.000000e+00
1.079152e+07 0.000000e+00 0.000000e+00 0.000000e+00
1.196968e+07 0.000000e+00 0.000000e+00 0.000000e+00
1.327647e+07 0.000000e+00 0.000000e+00 0.000000e+00
1.472592e+07 0.000000e+00 0.000000e+00 0.000000e+00
1.633363e+07 0.000000e+00 0.000000e+00 0.000000e+00
1.811685e+07 0.000000e+00 0.000000e+00 0.000000e+00
2.009475e+07 0.000000e+00 0.000000e+00 0.000000e+00
2.228859e+07 0.000000e+00 0.000000e+00 0.000000e+00
2.472194e+07 0.000000e+00 0.000000e+00 0.000000e+00
2.742096e+07 0.000000e+00 0.000000e+00 0.000000e+00
3.041463e+07 0.000000e+00 0.000000e+00 0.000000e+00
3.373515e+07 0.000000e+00 0.000000e+00 0.000000e+00
3.741817e+07 0.000000e+00 0.000000e+00 0.000000e+00
4.150330e+07 0.000000e+00 0.000000e+00 0.000000e+00
4.603441e+07 0.000000e+00 0.000000e+00 0.000000e+00
5.106021e+07 0.000000e+00 0.000000e+00 0.000000e+00
5.663470e+07 0.000000e+00 0.000000e+00 0.000000e+00
6.281778e+07 0.000000e+00 0.000000e+00 0.000000e+00
6.967590e+07 0.000000e+00 0.000000e+00 0.000000e+00
7.728275e+07 0.000000e+00 0.000000e+00 0.000000e+00
8.572008e+07 0.000000e+00 0.000000e+00 0.000000e+00
9.507856e+07 0.000000e+00 0.000000e+00 0.000000e+00
